Year-Week,Site_Name,UTM_Source,UTM_Campaign,UTM_Supplier_Id,UTM_Medium,UTM_Ad_Id,UTM_Content,Supplier,Matching_Time,Reg,Distinct_Schools,Accepted,Rejected,Rev,CPA
202315,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,14,8,8,5,167.00,20.875000
202317,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,10,11,5,2,122.00,24.400000
202318,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,4,1,0,1,0.00,
202318,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,4,6,4,0,83.00,20.750000
202319,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,8,2,3,3,56.00,18.666667
202319,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,346,44,270,57,6716.00,24.874074
202320,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,111,28,82,17,2010.00,24.512195
202320,white_g,Email,,SUP0109,edu_grant,376908,,Educationdirectory.org,,23,16,24,3,574.00,23.916667
202302,white_g,Email,[],SUP0109,edu_grant,[creative_id],[],Educationdirectory.org,,2,11,0,0,0.00,
202313,white_g,google,,SUP0101,edu_grant,,,Educationdirectory.org,,1,3,3,0,84.00,28.000000
202304,Purdue Global,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,72,16,42,36,868.00,20.666667
202304,Purdue Global,google,15642144919,SUP0101,edu_grant,606243851972,138112893036,Educationdirectory.org,,17,11,9,7,199.00,22.111111
202304,Purdue Global,google,15642144919,SUP0101,edu_grant,609863689867,134177226209,Educationdirectory.org,,1,2,0,1,0.00,
202304,white_g,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,1713,69,1142,286,27848.00,24.385289
202304,white_g,google,15642144919,SUP0101,edu_grant,606243851972,138112893036,Educationdirectory.org,,194,31,132,30,3173.00,24.037879
202304,white_g,google,15642144919,SUP0101,edu_grant,609863689867,134177226209,Educationdirectory.org,,8,10,6,2,93.00,15.500000
202304,white_g,google,15642144919,SUP0101,edu_grant,609928392911,138112893036,Educationdirectory.org,,23,21,20,4,516.00,25.800000
202305,edp,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,60,20,39,15,872.00,22.358974
202305,edp,google,15642144919,SUP0101,edu_grant,606243851972,138112893036,Educationdirectory.org,,11,11,8,2,187.00,23.375000
202305,edp,google,15642144919,SUP0101,edu_grant,609928392911,138112893036,Educationdirectory.org,,6,6,4,0,103.00,25.750000
202305,Purdue Global,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,97,16,55,58,1069.00,19.436364
202305,Purdue Global,google,15642144919,SUP0101,edu_grant,606243851972,138112893036,Educationdirectory.org,,23,9,7,16,144.00,20.571429
202305,Purdue Global,google,15642144919,SUP0101,edu_grant,609928392911,138112893036,Educationdirectory.org,,1,3,1,2,22.00,22.000000
202305,white_g,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,1893,76,1176,287,28975.00,24.638605
202305,white_g,google,15642144919,SUP0101,edu_grant,606243851972,138112893036,Educationdirectory.org,,251,44,157,31,3861.00,24.592357
202305,white_g,google,15642144919,SUP0101,edu_grant,609863689867,134177226209,Educationdirectory.org,,14,10,4,1,73.00,18.250000
202305,white_g,google,15642144919,SUP0101,edu_grant,609928392911,138112893036,Educationdirectory.org,,23,13,16,5,419.00,26.187500
202306,edp,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,56,19,59,13,1381.00,23.406780
202306,edp,google,15642144919,SUP0101,edu_grant,606243851972,138112893036,Educationdirectory.org,,17,15,9,7,201.00,22.333333
202306,edp,google,15642144919,SUP0101,edu_grant,609863689867,134177226209,Educationdirectory.org,,1,3,2,0,54.00,27.000000
202306,edp,google,15642144919,SUP0101,edu_grant,609928392911,138112893036,Educationdirectory.org,,1,3,0,3,0.00,
202252,edp,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,10,4,3,2,63.00,21.000000
202252,edp,google,15642144919,SUP0101,edu_grant,609928392911,138112893036,Educationdirectory.org,,2,3,3,0,53.00,17.666667
202252,Purdue Global,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,17,4,8,2,153.00,19.125000
202252,Purdue Global,google,15642144919,SUP0101,edu_grant,606243851972,138112893036,Educationdirectory.org,,9,2,0,3,0.00,
202252,white_g,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,203,16,96,15,2370.00,24.687500
202252,white_g,google,15642144919,SUP0101,edu_grant,606243851972,138112893036,Educationdirectory.org,,71,13,41,11,954.00,23.268293
202252,white_g,google,15642144919,SUP0101,edu_grant,609863689867,134177226209,Educationdirectory.org,,2,2,2,0,43.00,21.500000
202252,white_g,google,15642144919,SUP0101,edu_grant,609928392911,138112893036,Educationdirectory.org,,11,4,6,2,138.00,23.000000
202301,edp,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,47,19,29,13,674.00,23.241379
202301,edp,google,15642144919,SUP0101,edu_grant,606243851972,138112893036,Educationdirectory.org,,14,13,10,1,196.00,19.600000
202301,edp,google,15642144919,SUP0101,edu_grant,609928392911,138112893036,Educationdirectory.org,,6,11,2,2,50.00,25.000000
202301,Purdue Global,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,133,14,76,73,1589.00,20.907895
202301,Purdue Global,google,15642144919,SUP0101,edu_grant,606243851972,138112893036,Educationdirectory.org,,25,9,18,13,314.00,17.444444
202301,Purdue Global,google,15642144919,SUP0101,edu_grant,609928392911,138112893036,Educationdirectory.org,,4,4,1,0,7.00,7.000000
202301,white_g,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,2047,78,1380,294,34446.00,24.960870
202301,white_g,google,15642144919,SUP0101,edu_grant,606243851972,138112893036,Educationdirectory.org,,509,62,349,72,8569.00,24.553009
202301,white_g,google,15642144919,SUP0101,edu_grant,609863689867,134177226209,Educationdirectory.org,,17,12,4,1,82.00,20.500000
202301,white_g,google,15642144919,SUP0101,edu_grant,609928392911,138112893036,Educationdirectory.org,,83,26,57,9,1315.00,23.070175
202302,edp,google,15642144919,SUP0101,edu_grant,585909895103,134177226209,Educationdirectory.org,,35,18,24,11,566.00,23.583333
