Month,Date,Site_Name,UTM_Source,UTM_Campaign,UTM_Supplier_Id,UTM_Medium,UTM_Ad_Id,UTM_Content,Supplier,Matching_Time,Reg,Distinct_Schools,Accepted,Rejected,Rev,CPA
4,2023-04-24,white_g,,,,,,,Educationdirectory.org,,2,3,1.0,1.0,30.0,30.0
4,2023-04-24,white_g,,,SUP0104,,,,Educationdirectory.org,,1,0,,,0.0,
4,2023-04-25,,,,,,,,Digital Media Solutions,,4758,4,1.0,1.0,19.0,19.0
4,2023-04-25,Purdue Global,,,,,,,Educationdirectory.org,,1,5,3.0,0.0,94.0,31.333333
4,2023-04-25,white_g,,,,,,,Educationdirectory.org,,1,0,,,0.0,
4,2023-04-26,,,,,,,,Digital Media Solutions,,4122,2,0.0,0.0,0.0,
4,2023-04-26,edp,,,,,,,Educationdirectory.org,,2,6,0.0,0.0,0.0,
4,2023-04-26,Purdue Global,,,,,,,Educationdirectory.org,,2,6,0.0,0.0,0.0,
4,2023-04-26,white_g,,,,,,,Educationdirectory.org,,1,4,2.0,1.0,43.0,21.5
4,2023-04-26,white_g,,,SUP0101,,651015491880,,Educationdirectory.org,,1,1,,,0.0,
4,2023-04-26,white_g,,,SUP0104,,,,Educationdirectory.org,,2,1,1.0,0.0,12.0,12.0
5,2023-05-11,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,1,2,1.0,1.0,11.0,11.0
5,2023-05-11,white_g,,,SUP0109,,,,Educationdirectory.org,,1,1,,,0.0,
5,2023-05-12,,,,,,,,Digital Media Solutions,,3410,3,1.0,2.0,19.0,19.0
5,2023-05-12,edp,,,,,,,Educationdirectory.org,,1,6,3.0,0.0,92.0,30.666667
5,2023-05-12,white_g,,,,,,,Educationdirectory.org,,2,6,3.0,0.0,104.0,34.666667
5,2023-05-12,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,1,2,0.0,0.0,0.0,
5,2023-05-12,white_g,,,SUP0109,,374219,,Educationdirectory.org,,1,2,1.0,0.0,26.0,26.0
5,2023-05-13,,,,,,,,Digital Media Solutions,,3245,4,0.0,2.0,0.0,
5,2023-05-14,,,,,,,,Digital Media Solutions,,3130,3,1.0,3.0,19.0,19.0
5,2023-05-14,white_g,,,SUP0101,,649118698063,,Educationdirectory.org,,1,3,0.0,0.0,0.0,
5,2023-05-15,,,,,,,,Digital Media Solutions,,3805,5,0.0,3.0,0.0,
5,2023-05-15,edp,,,,,,,Educationdirectory.org,,2,9,2.0,1.0,46.0,23.0
5,2023-05-15,white_g,,,,,,,Educationdirectory.org,,1,5,0.0,0.0,0.0,
5,2023-05-24,,,,,,,,Digital Media Solutions,,4174,5,1.0,3.0,19.0,19.0
5,2023-05-24,edu,,,,,,,Educationdirectory.org,,8,0,,,0.0,
5,2023-05-24,white_g,,,SUP0104,,grant2,,Educationdirectory.org,,2,0,,,0.0,
5,2023-05-24,white_g,,,SUP0109,,374219,,Educationdirectory.org,,1,1,0.0,0.0,0.0,
5,2023-05-25,,,,,,,,Digital Media Solutions,,4085,4,0.0,1.0,0.0,
5,2023-05-25,edu,,,,,,,Educationdirectory.org,,13,1,0.0,0.0,0.0,
5,2023-05-25,white_g,,,,,,,Educationdirectory.org,,2,4,4.0,0.0,98.0,24.5
5,2023-05-26,,,,,,,,Digital Media Solutions,,3638,5,0.0,4.0,0.0,
5,2023-05-26,edp,,,,,,,Educationdirectory.org,,1,6,2.0,0.0,35.0,17.5
5,2023-05-26,edu,,,,,,,Educationdirectory.org,,14,0,,,0.0,
5,2023-05-26,white_g,,,,,,,Educationdirectory.org,,3,1,1.0,0.0,19.0,19.0
5,2023-05-03,white_g,,,,,,,Educationdirectory.org,,2,2,2.0,0.0,52.0,26.0
5,2023-05-04,,,,,,,,Digital Media Solutions,,3637,7,2.0,8.0,38.0,19.0
5,2023-05-04,white_g,,,,,,,Educationdirectory.org,,1,4,0.0,0.0,0.0,
5,2023-05-04,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,1,2,0.0,0.0,0.0,
5,2023-05-05,,,,,,,,Digital Media Solutions,,3273,7,0.0,6.0,0.0,
5,2023-05-06,,,,,,,,Digital Media Solutions,,3221,7,0.0,4.0,0.0,
5,2023-05-06,white_g,,,,,,,Educationdirectory.org,,2,1,1.0,0.0,30.0,30.0
5,2023-05-06,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,2,2,0.0,2.0,0.0,
5,2023-05-07,,,,,,,,Digital Media Solutions,,3146,5,2.0,2.0,45.0,22.5
5,2023-05-07,white_g,,,,,,,Educationdirectory.org,,1,1,1.0,0.0,30.0,30.0
5,2023-05-07,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,1,0,,,0.0,
4,2023-04-20,,,,,,,,Digital Media Solutions,,4707,4,1.0,0.0,19.0,19.0
4,2023-04-20,white_g,,,,,,,Educationdirectory.org,,4,6,2.0,1.0,36.0,18.0
4,2023-04-20,white_g,,,SUP0101,,624999155488,,Educationdirectory.org,,1,0,,,0.0,
4,2023-04-20,white_g,,,SUP0104,,,,Educationdirectory.org,,1,1,1.0,0.0,30.0,30.0
4,2023-04-21,,,,,,,,Digital Media Solutions,,3742,3,0.0,1.0,0.0,
4,2023-04-21,white_g,,,,,,,Educationdirectory.org,,2,1,0.0,0.0,0.0,
4,2023-04-21,white_g,,,SUP0101,,650931252223,,Educationdirectory.org,,1,2,2.0,0.0,43.0,21.5
4,2023-04-21,white_g,,,SUP0104,,,,Educationdirectory.org,,1,2,2.0,0.0,54.0,27.0
4,2023-04-22,,,,,,,,Digital Media Solutions,,3575,3,1.0,1.0,19.0,19.0
4,2023-04-22,Purdue Global,,,,,,,Educationdirectory.org,,3,3,0.0,0.0,0.0,
4,2023-04-22,white_g,,,,,,,Educationdirectory.org,,1,5,0.0,0.0,0.0,
4,2023-04-22,white_g,,,SUP0104,,,,Educationdirectory.org,,1,0,,,0.0,
4,2023-04-23,,,,,,,,Digital Media Solutions,,3221,3,1.0,2.0,19.0,19.0
4,2023-04-23,Purdue Global,,,,,,,Educationdirectory.org,,1,1,0.0,1.0,0.0,
4,2023-04-30,white_g,,,,,,,Educationdirectory.org,,1,0,,,0.0,
5,2023-05-01,,,,,,,,Digital Media Solutions,,4633,8,6.0,8.0,122.0,20.333333
5,2023-05-01,edp,,,SUP0111,,creative1e,,Educationdirectory.org,,1,5,3.0,0.0,76.0,25.333333
5,2023-05-01,edp,,,SUP0111,education,creative1e,,Educationdirectory.org,,1,0,,,0.0,
5,2023-05-01,Purdue Global,,,SUP0111,edu_grant,creative1g,,Educationdirectory.org,,1,3,0.0,0.0,0.0,
5,2023-05-01,Purdue Global,,,SUP0111,education,creative1e,,Educationdirectory.org,,2,2,1.0,0.0,40.0,40.0
5,2023-05-01,white_g,,,,,,,Educationdirectory.org,,1,11,0.0,0.0,0.0,
5,2023-05-01,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,1,0,,,0.0,
5,2023-05-01,white_g,,,SUP0111,,creative1g,,Educationdirectory.org,,1,5,0.0,0.0,0.0,
5,2023-05-01,white_g,,,SUP0111,edu_grant,creative1g,,Educationdirectory.org,,16,13,18.0,4.0,386.0,21.444444
5,2023-05-02,,,,,,,,Digital Media Solutions,,4796,8,7.0,5.0,133.0,19.0
5,2023-05-02,edp,,,,,,,Educationdirectory.org,,1,2,1.0,0.0,13.0,13.0
5,2023-05-02,edp,,,SUP0101,,624999155494,,Educationdirectory.org,,1,5,0.0,0.0,0.0,
5,2023-05-02,edp,,,SUP0111,education,creative1e,,Educationdirectory.org,,5,4,4.0,4.0,112.0,28.0
5,2023-05-02,Purdue Global,,,SUP0111,edu_grant,creative1g,,Educationdirectory.org,,1,3,0.0,0.0,0.0,
5,2023-05-02,Purdue Global,,,SUP0111,education,creative1e,,Educationdirectory.org,,2,2,0.0,0.0,0.0,
5,2023-05-02,white_g,,,SUP0111,edu_grant,creative1g,,Educationdirectory.org,,22,15,9.0,1.0,228.0,25.333333
5,2023-05-03,,,,,,,,Digital Media Solutions,,4605,7,2.0,4.0,45.0,22.5
4,2023-04-26,white_g,,Education,,,,,Educationdirectory.org,,7,7,5.0,3.0,115.0,23.0
4,2023-04-27,white_g,,Education,,,,,Educationdirectory.org,,10,7,3.0,0.0,68.0,22.666667
4,2023-04-27,edp,,Grants,,,,,Educationdirectory.org,,2,4,3.0,2.0,78.0,26.0
4,2023-04-26,edp,,Grants,,,,,Educationdirectory.org,,18,14,11.0,3.0,197.0,17.909091
4,2023-04-23,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,220,16,26.0,2.0,452.0,17.384615
4,2023-04-24,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,193,11,39.0,5.0,657.0,16.846154
4,2023-04-25,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,163,12,32.0,1.0,556.0,17.375
4,2023-04-26,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,122,8,24.0,4.0,369.0,15.375
4,2023-04-16,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,210,38,95.0,14.0,2421.0,25.484211
4,2023-04-17,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,184,24,94.0,17.0,2254.0,23.978723
4,2023-04-18,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,219,18,99.0,10.0,2384.0,24.080808
4,2023-04-19,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,162,11,88.0,11.0,2113.0,24.011364
4,2023-04-20,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,197,13,68.0,20.0,1765.0,25.955882
4,2023-04-21,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,183,13,43.0,2.0,832.0,19.348837
4,2023-04-22,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,217,10,32.0,4.0,569.0,17.78125
5,2023-05-25,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,4,0,,,0.0,
5,2023-05-24,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,21,10,11.0,3.0,298.0,27.090909
5,2023-05-25,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,10,11,11.0,1.0,296.0,26.909091
5,2023-05-25,white_g,Email,,SUP0109,edu_grant,376908,,Educationdirectory.org,,2,1,0.0,0.0,0.0,
5,2023-05-26,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,10,6,1.0,0.0,7.0,7.0
5,2023-05-26,white_g,Email,,SUP0109,edu_grant,376908,,Educationdirectory.org,,5,3,0.0,1.0,0.0,
4,2023-04-24,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,1,5,0.0,1.0,0.0,
4,2023-04-25,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,3,4,0.0,1.0,0.0,
4,2023-04-25,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,3,8,3.0,0.0,76.0,25.333333
4,2023-04-26,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,4,7,2.0,1.0,46.0,23.0
5,2023-05-08,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,5,9,4.0,0.0,100.0,25.0
5,2023-05-09,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,2,2,2.0,0.0,43.0,21.5
5,2023-05-09,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,121,28,79.0,13.0,1903.0,24.088608
5,2023-05-10,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,17,15,15.0,0.0,378.0,25.2
5,2023-05-11,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,3,2,1.0,2.0,13.0,13.0
5,2023-05-27,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,26,9,13.0,0.0,235.0,18.076923
5,2023-05-28,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,25,8,12.0,0.0,247.0,20.583333
5,2023-05-29,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,27,8,15.0,6.0,376.0,25.066667
5,2023-05-30,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,7,5,6.0,0.0,118.0,19.666667
5,2023-05-20,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,31,13,24.0,3.0,581.0,24.208333
5,2023-05-20,white_g,Email,,SUP0109,edu_grant,376908,,Educationdirectory.org,,3,3,3.0,1.0,89.0,29.666667
5,2023-05-21,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,26,11,11.0,10.0,260.0,23.636364
5,2023-05-22,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,21,12,19.0,4.0,485.0,25.526316
5,2023-05-22,white_g,Email,,SUP0109,edu_grant,376908,,Educationdirectory.org,,6,4,3.0,0.0,82.0,27.333333
5,2023-05-23,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,12,10,9.0,1.0,218.0,24.222222
5,2023-05-23,white_g,Email,,SUP0109,edu_grant,376908,,Educationdirectory.org,,6,3,2.0,0.0,60.0,30.0
4,2023-04-27,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,2,4,0.0,0.0,0.0,
4,2023-04-29,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,1,1,0.0,0.0,0.0,
4,2023-04-30,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,1,1,1.0,0.0,7.0,7.0
5,2023-05-16,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,23,16,15.0,4.0,401.0,26.733333
5,2023-05-17,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,8,6,7.0,1.0,130.0,18.571429
5,2023-05-18,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,12,14,10.0,2.0,217.0,21.7
5,2023-05-19,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,9,11,5.0,0.0,144.0,28.8
5,2023-05-19,white_g,Email,,SUP0109,edu_grant,376908,,Educationdirectory.org,,20,14,21.0,2.0,485.0,23.095238
4,2023-04-20,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,1,1,,,0.0,
4,2023-04-20,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,5,3,4.0,2.0,102.0,25.5
4,2023-04-21,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,3,4,3.0,0.0,76.0,25.333333
4,2023-04-16,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,1,1,0.0,1.0,0.0,
4,2023-04-16,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,5,7,7.0,0.0,196.0,28.0
4,2023-04-17,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,7,13,4.0,2.0,86.0,21.5
4,2023-04-18,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,3,8,3.0,2.0,49.0,16.333333
4,2023-04-19,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,3,12,3.0,1.0,60.0,20.0
5,2023-05-11,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,155,36,127.0,34.0,3152.0,24.818898
5,2023-05-12,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,3,1,0.0,1.0,0.0,
5,2023-05-12,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,38,17,32.0,10.0,869.0,27.15625
5,2023-05-13,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,8,10,12.0,0.0,274.0,22.833333
5,2023-05-14,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,9,6,14.0,1.0,368.0,26.285714
5,2023-05-15,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,19,12,7.0,6.0,169.0,24.142857
5,2023-05-05,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,4,1,0.0,1.0,0.0,
5,2023-05-05,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,1,4,3.0,0.0,76.0,25.333333
5,2023-05-06,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,2,2,0.0,0.0,0.0,
5,2023-05-07,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,2,9,1.0,0.0,40.0,40.0
4,2023-04-30,Purdue Global,google,17636347892,SUP0101,edu_grant,607713435568,141341628147.0,Educationdirectory.org,,5,2,0.0,2.0,0.0,
4,2023-04-30,Purdue Global,google,17636347892,SUP0101,edu_grant,620702930077,141341628187.0,Educationdirectory.org,,3,0,,,0.0,
4,2023-04-30,Purdue Global,google,17636347892,SUP0101,edu_grant,650026762788,141341628147.0,Educationdirectory.org,,2,1,1.0,0.0,22.0,22.0
4,2023-04-30,Purdue Global,google,17636347892,SUP0101,edu_grant,650931252223,141341628187.0,Educationdirectory.org,,6,1,0.0,0.0,0.0,
4,2023-04-30,Purdue Global,google,17636347892,SUP0101,edu_grant,651015491880,149928081241.0,Educationdirectory.org,,6,2,2.0,0.0,62.0,31.0
4,2023-04-30,white_g,google,17636347892,SUP0101,edu_grant,607713435568,141341628147.0,Educationdirectory.org,,30,7,13.0,3.0,322.0,24.769231
4,2023-04-30,white_g,google,17636347892,SUP0101,edu_grant,620702930077,141341628187.0,Educationdirectory.org,,17,4,7.0,0.0,161.0,23.0
4,2023-04-30,white_g,google,17636347892,SUP0101,edu_grant,649118698063,149928081241.0,Educationdirectory.org,,15,5,7.0,1.0,151.0,21.571429
4,2023-04-30,white_g,google,17636347892,SUP0101,edu_grant,650026762788,141341628147.0,Educationdirectory.org,,31,8,7.0,3.0,151.0,21.571429
4,2023-04-30,white_g,google,17636347892,SUP0101,edu_grant,650931252223,141341628187.0,Educationdirectory.org,,26,4,9.0,2.0,174.0,19.333333
4,2023-04-30,white_g,google,17636347892,SUP0101,edu_grant,651015491880,149928081241.0,Educationdirectory.org,,43,10,26.0,2.0,589.0,22.653846
5,2023-05-01,edp,google,17636347892,SUP0101,edu_grant,607713435568,141341628147.0,Educationdirectory.org,,3,3,2.0,0.0,20.0,10.0
5,2023-05-01,edp,google,17636347892,SUP0101,edu_grant,649118698063,149928081241.0,Educationdirectory.org,,1,5,0.0,0.0,0.0,
5,2023-05-01,edp,google,17636347892,SUP0101,edu_grant,650026762788,141341628147.0,Educationdirectory.org,,1,0,,,0.0,
5,2023-05-01,Purdue Global,google,17636347892,SUP0101,edu_grant,607713435568,141341628147.0,Educationdirectory.org,,5,4,2.0,1.0,46.0,23.0
5,2023-05-01,Purdue Global,google,17636347892,SUP0101,edu_grant,650026762788,141341628147.0,Educationdirectory.org,,2,1,1.0,0.0,24.0,24.0
5,2023-05-01,Purdue Global,google,17636347892,SUP0101,edu_grant,650931252223,141341628187.0,Educationdirectory.org,,1,2,1.0,1.0,13.0,13.0
5,2023-05-01,Purdue Global,google,17636347892,SUP0101,edu_grant,651015491880,149928081241.0,Educationdirectory.org,,2,6,0.0,2.0,0.0,
5,2023-05-01,white_g,google,17636347892,SUP0101,edu_grant,607713435568,141341628147.0,Educationdirectory.org,,69,21,51.0,18.0,1288.0,25.254902
5,2023-05-01,white_g,google,17636347892,SUP0101,edu_grant,620702930077,141341628187.0,Educationdirectory.org,,22,10,13.0,0.0,267.0,20.538462
5,2023-05-01,white_g,google,17636347892,SUP0101,edu_grant,649118698063,149928081241.0,Educationdirectory.org,,14,14,10.0,2.0,199.0,19.9
5,2023-05-01,white_g,google,17636347892,SUP0101,edu_grant,650026762788,141341628147.0,Educationdirectory.org,,56,23,42.0,11.0,1007.0,23.97619
5,2023-05-01,white_g,google,17636347892,SUP0101,edu_grant,650931252223,141341628187.0,Educationdirectory.org,,33,20,23.0,3.0,607.0,26.391304
